Question,Answer,Topic,Tags
What is the primary difference between PostgreSQL and EDB Postgres Advanced Server (EPAS)?,"<b>ANSWER:</b> EDB Postgres Advanced Server (EPAS) adds enterprise-level features on top of open-source PostgreSQL.<br><br><b>Key Additions:</b><br>• <b>Oracle Compatibility:</b> Native support for Oracle PL/SQL, packages, and data types.<br>• <b>Additional Security:</b> SQL injection protection, data redaction, password policies.<br>• <b>DBA Productivity:</b> Wait diagnostics, CPU/IO throttling at the process level.",EDB Postgres Essentials,edb_postgres intro architecture
What are the General Database Limits in PostgreSQL?,<b>ANSWER:</b> The absolute maximum sizes for database objects.<br><br>• <b>Maximum Database Size:</b> Unlimited<br>• <b>Maximum Table Size:</b> 32 TB<br>• <b>Maximum Row Size:</b> 1.6 TB<br>• <b>Maximum Field Size:</b> 1 GB<br>• <b>Maximum Rows/Indexes per Table:</b> Unlimited,EDB Postgres Essentials,edb_postgres limits architecture
"Translate these common Industry Database Terms into Postgres Terminology: Table, Row, Column, Data Block.",<b>ANSWER:</b> Postgres uses academic terminology from its early development.<br><br>• <b>Table</b> = Relation<br>• <b>Row</b> = Tuple<br>• <b>Column</b> = Attribute<br>• <b>Data Block</b> = Page (when on disk) or Buffer (when in memory),EDB Postgres Essentials,edb_postgres terminology basics
What is the role of the 'Postmaster' process in Postgres?,"<b>ANSWER:</b> It is the master supervisor process.<br><br><b>Key Roles:</b><br>1. Listens on a single TCP port (default 5432, EDB default 5444) for incoming client connections.<br>2. Spawns a dedicated 'user backend process' for each new client session.<br>3. Starts and restarts utility/background processes if they crash.",Postgres Architecture,edb_postgres architecture postmaster
What is a 'User Backend Process' in Postgres?,"<b>ANSWER:</b> A dedicated process spawned by the Postmaster for a single client connection.<br><br>Because Postgres uses a <b>Process per connection</b> model (not threads), every active connection gets its own dedicated OS process that handles query parsing, planning, and execution, utilizing its own `work_mem`.",Postgres Architecture,edb_postgres architecture process
Name the 4 primary Postgres Utility Processes and their functions.,"<b>ANSWER:</b> The core background workers that keep the database running.<br><br>1. <b>Background Writer (BGWRITER):</b> Slowly writes dirty data blocks to disk to ensure adequate supply of clean buffers.<br>2. <b>WAL Writer:</b> Flushes Write-Ahead Log buffers to disk (crucial for durability).<br>3. <b>Checkpointer:</b> Performs full checkpoints, syncing all dirty buffers to disk.<br>4. <b>Autovacuum:</b> Recovers free space from dead tuples (rows) for reuse.",Postgres Architecture,edb_postgres architecture utility
What happens during a COMMIT versus a CHECKPOINT in Postgres?,<b>ANSWER:</b> Logging vs Syncing Data.<br><br>• <b>COMMIT:</b> Only the <b>WAL buffers</b> are written to the disk (Write-Ahead Log file) so the transaction is permanent. The actual data pages remain in Shared Buffers (memory).<br>• <b>CHECKPOINT:</b> The <b>Modified Data Pages</b> are physically written from Shared Buffers to the actual database data files on disk.,Postgres Architecture,edb_postgres architecture checkpoint commit
How does Postgres structure physical files on disk for Tables and Indexes?,"<b>ANSWER:</b> File-per-table structure.<br><br>Each relation (table or index) gets one or more files in the data directory. When a file reaches <b>1 GB</b>, a new file segment is created. The filename corresponds to the table's `pg_class.relfilenode` ID.",Postgres Architecture,edb_postgres architecture storage files
Explain the default Page Layout structure in Postgres.,<b>ANSWER:</b> The anatomy of an 8KB Data Page.<br><br>1. <b>Page Header:</b> 24 bytes of general info and free space pointers.<br>2. <b>Item Pointers (Row/Index pointers):</b> Array of offset/length pairs pointing to tuples. Grows from the <b>front</b>.<br>3. <b>Free Space:</b> Empty space in the middle.<br>4. <b>Tuples (Actual Data):</b> The physical row data. Grows from the <b>rear</b>.,Postgres Architecture,edb_postgres architecture storage page
What is the default OS user for installing EDB Postgres Advanced Server on Linux?,"<b>ANSWER:</b> `enterprisedb`<br><br>Unlike community PostgreSQL which uses the `postgres` user, EDB Advanced Server creates and uses the `enterprisedb` user account. This user must own the data directory.",EDB Postgres Installation,edb_postgres installation linux
What is the role of `postgresql.conf`?,"<b>ANSWER:</b> The main configuration file for the Postgres database cluster.<br><br>It contains all the core parameters like `shared_buffers`, `work_mem`, `max_connections`, and logging settings. Changes require either a server reload (`SELECT pg_reload_conf();`) or a full restart depending on the parameter.",Postgres Configuration,edb_postgres config postgresql_conf
What is `pg_hba.conf` used for?,"<b>ANSWER:</b> Host-Based Authentication configuration.<br><br>It acts as the firewall/bouncer for Postgres. It determines which IP addresses/subnets can connect, to which databases, using which user roles, and what authentication method (e.g., `md5`, `scram-sha-256`, `peer`, `cert`) they must use.",Postgres Configuration,edb_postgres config security pg_hba
What does the `listen_addresses` parameter do?,<b>ANSWER:</b> Determines which network interfaces Postgres listens on.<br><br>• `localhost` (default): Only local connections allowed.<br>• `*`: Listens on all available IP interfaces.<br>Requires a database restart to take effect.,Postgres Configuration,edb_postgres config network
Explain the `shared_buffers` parameter.,"<b>ANSWER:</b> The amount of memory dedicated for caching data blocks (pages).<br><br><b>Rule of Thumb:</b> Typically set to 25% of total system RAM. It is where Postgres stores recently accessed data to avoid slow disk I/O. If a page isn't in `shared_buffers`, Postgres relies on the OS page cache.",Postgres Configuration,edb_postgres config memory tuning
What is `work_mem` and why is it dangerous to set it too high?,"<b>ANSWER:</b> Memory used for sorting (ORDER BY) and hashing (hash joins) operations.<br><br><b>The Danger:</b> It is allocated <i>per operation</i>, not globally. If `work_mem` is 100MB, and a complex query has 5 sort operations, that single query uses 500MB. If 100 users run it, it consumes 50GB, leading to Out Of Memory (OOM) crashes.",Postgres Configuration,edb_postgres config memory tuning
What does `maintenance_work_mem` control?,"<b>ANSWER:</b> Memory used for maintenance operations like `VACUUM`, `CREATE INDEX`, and `ALTER TABLE`.<br><br>Since these are executed less frequently and usually by DBAs, this can be set much higher than `work_mem` (e.g., 1GB - 2GB) to speed up index creation and vacuuming.",Postgres Configuration,edb_postgres config memory vacuum
How do you reload configuration changes without restarting the database?,<b>ANSWER:</b> Using the SQL function or system command.<br><br><b>SQL:</b><br><code>SELECT pg_reload_conf();</code><br><br><b>Linux OS:</b><br><code>systemctl reload postgresql-15</code> or <code>pg_ctl reload -D /path/to/data</code>,Postgres Configuration,edb_postgres config admin commands
What is the difference between `postgresql.conf` and `postgresql.auto.conf`?,<b>ANSWER:</b> Manual vs ALTER SYSTEM.<br><br>• `postgresql.conf`: Edited manually by the DBA.<br>• `postgresql.auto.conf`: Edited automatically when a DBA runs the SQL command <code>ALTER SYSTEM SET param = value;</code>. It always overrides the manual `postgresql.conf`.,Postgres Configuration,edb_postgres config admin
What is a 'Database Cluster' in Postgres?,"<b>ANSWER:</b> A single instance of a running database server managing multiple databases.<br><br>Unlike standard English where 'cluster' means multiple servers, in Postgres, it means one server process managing a single data directory (`PGDATA`) that holds multiple independent databases (e.g., HR_db, Sales_db).",Storage & Clusters,edb_postgres architecture cluster
What is the role of `initdb`?,"<b>ANSWER:</b> It initializes a brand new Postgres Database Cluster.<br><br>It creates the base directory structure, system catalogs, the default `postgres` database, the WAL directories, and the initial configuration files (`postgresql.conf`, `pg_hba.conf`).",Storage & Clusters,edb_postgres installation initdb
What is a 'Tablespace' in Postgres?,"<b>ANSWER:</b> A named location (folder on disk) where database objects can be stored.<br><br><b>Use Case:</b> You have a fast, expensive NVMe SSD, and a slow, cheap HDD. You create a Tablespace pointing to the SSD for hot indexes, and a Tablespace pointing to the HDD for old archive tables.",Storage & Clusters,edb_postgres architecture tablespace
