Question,Answer,Topic,Tags
"What is a Database Management System (DBMS)?","<b>ANSWER:</b> The software that acts as a middleman between your app and the data.<br><br><b>The Simple Explanation:</b><br>You don't write data directly to a hard drive text file. You send a command to the DBMS (like MySQL), and it safely writes it, organizes it, and quickly fetches it later. It prevents data corruption.","DBMS Fundamentals","dbms basic theory"
"What is the difference between SQL and NoSQL?","<b>ANSWER:</b> Organized Tables vs Flexible Documents.<br><br><b>SQL (Relational):</b> Like Excel. Strict rows and columns. Great for structured data (Financial ledgers, User accounts). Examples: MySQL, PostgreSQL.<br><br><b>NoSQL (Non-Relational):</b> Like a folder of JSON text files. Highly flexible, no strict columns. Great for rapidly changing unstructured data (Social media posts, Logs). Examples: MongoDB, DynamoDB.","DBMS Fundamentals","dbms basic nosql sql"
"What does ACID stand for in databases?","<b>ANSWER:</b> The 4 rules for a reliable transaction.<br><br>• <b>Atomicity:</b> All or nothing. If a $100 transfer crashes halfway, it fully rolls back.<br>• <b>Consistency:</b> The data must follow the rules (e.g., no negative bank balances allowed).<br>• <b>Isolation:</b> Two people buying the last concert ticket at the exact same millisecond won't break the system.<br>• <b>Durability:</b> Once the database says 'Saved', it is permanently on the hard drive, even if the power goes out a second later.","DBMS Fundamentals","dbms basic acid"
"What is Database Normalization?","<b>ANSWER:</b> Organizing data to reduce redundancy and eliminate anomalies.<br><br><b>The Simple Explanation:</b><br>If a user changes their address, you shouldn't have to update 50 different order records. You keep the address in a single `Users` table, and the `Orders` table just points to the User ID. This prevents mismatched, outdated data.","DBMS Fundamentals","dbms basic normalization"
"What is the First Normal Form (1NF)?","<b>ANSWER:</b> No lists hidden inside a single box.<br><br><b>The Simple Explanation:</b><br>A single column must hold a single, indivisible value. <br><b>Bad:</b> A `courses` column contains 'Math, Science, Art'.<br><b>Good (1NF):</b> Each course gets its own separate row, or is moved to a dedicated `Enrollments` table.","DBMS Fundamentals","dbms basic normalization"
"What is the difference between a Primary Key and a Foreign Key?","<b>ANSWER:</b> The ID badge vs The Pointer.<br><br>• <b>Primary Key:</b> A unique identifier for a row in its OWN table (e.g., User ID 5).<br>• <b>Foreign Key:</b> A column in one table that points to a Primary Key in ANOTHER table (e.g., An Order has a `user_id` of 5). It creates the link between them.","DBMS Fundamentals","dbms basic keys"
"How do you select all columns from a table in SQL?","<b>ANSWER:</b> Use the asterisk (*) wildcard.<br><br><b>The Simple Explanation:</b><br>If you want to pull every single piece of data about your users.<br><br><b>The Code:</b><br><code>SELECT * FROM Users;</code><br><br><i>Note:</i> In production, avoid `SELECT *` because it wastes bandwidth if you only need the email. Always specify columns: `SELECT id, email FROM Users;`","DBMS Fundamentals","dbms sql mysql basic"
"How do you filter results using the WHERE clause?","<b>ANSWER:</b> It acts as a strict bouncer at the door.<br><br><b>The Code:</b><br><code>SELECT name, age <br>FROM Users <br>WHERE age > 18 AND state = 'NY';</code><br><br>You can use operators like `=`, `>`, `<`, `>=`, `<=`, `<>` (not equal), `AND`, `OR`.","DBMS Fundamentals","dbms sql mysql where"
"How do you search for partial text matches in SQL? (LIKE)","<b>ANSWER:</b> Using wildcards (`%`) to guess the rest of the word.<br><br><b>The Code:</b><br><code>SELECT email FROM Users WHERE email LIKE '%@gmail.com';</code><br><br>• `%` means 'zero or more characters'.<br>• `_` means 'exactly one character'.<br>• <i>MySQL Note:</i> `LIKE` is case-insensitive by default in MySQL!","DBMS Fundamentals","dbms sql mysql text-search"
"How do you sort your results? (ORDER BY)","<b>ANSWER:</b> Alphabetizing or ranking the data.<br><br><b>The Code:</b><br><code>SELECT name, salary <br>FROM Employees <br>ORDER BY salary DESC, name ASC;</code><br><br>• `DESC`: Descending (Highest to Lowest).<br>• `ASC`: Ascending (A to Z).","DBMS Fundamentals","dbms sql mysql order"
"How do you limit the number of rows returned? (LIMIT / OFFSET)","<b>ANSWER:</b> How to build pagination for a website.<br><br><b>The Code (Page 2 of results):</b><br><code>SELECT name FROM Users <br>ORDER BY id <br>LIMIT 10 OFFSET 10;</code><br><br>• `LIMIT 10`: Only give me 10 rows.<br>• `OFFSET 10`: Skip the first 10 rows entirely.","DBMS Fundamentals","dbms sql mysql limit"
"Explain how to use an INNER JOIN with code.","<b>ANSWER:</b> Gluing two tables together where they match perfectly.<br><br><b>The Code:</b><br><code>SELECT Users.name, Orders.total <br>FROM Users <br>INNER JOIN Orders ON Users.id = Orders.user_id;</code><br><br>If a User has never bought anything, they will NOT appear in this list at all. INNER JOIN demands a match on both sides.","DBMS Fundamentals","dbms sql mysql join"
