Question,Answer,Topic,Tags,CardType
"An analyst runs `cross_val_score` and gets accuracy scores of `[0.91, 0.45, 0.88, 0.92, 0.89]`. What does that sudden drop to 0.45 indicate?","<b>ANSWER:</b> The model is highly unstable depending on the specific slice of data it is trained on.<br><br><b>The Fix:</b> The data might not be shuffled properly before splitting, or one fold contains a disproportionate amount of a specific class. Consider using `StratifiedKFold`.",Analyst ML,ml sklearn cross-validation debug type-debug,debug
"Write a try/except block from scratch that attempts to open 'missing.txt' for reading, and if it fails due to the file not existing, creates a blank 'missing.txt' file.","<b>ANSWER:</b><br><code>try:<br>    with open('missing.txt', 'r') as f:<br>        pass<br>except FileNotFoundError:<br>    with open('missing.txt', 'w') as f:<br>        pass</code>",Python Core,python core exception file-handling type-fromscratch,fromscratch
"You have a dataset where predicting 'False' is easy, but predicting 'True' is hard. You want to explicitly tell XGBoost to pay more attention to the 'True' minority class. Which parameter do you adjust?","<b>ANSWER:</b> Adjust the <code>scale_pos_weight</code> parameter.<br><br><b>The Simple Explanation:</b><br>This parameter scales the penalty for getting the positive (minority) class wrong. If you have 10 times more negatives than positives, you set it to 10.",Analyst ML,ml xgboost imbalance type-scenario,scenario
You need to combine the results of two identical queries into a single column. The queries pull email addresses from a 'Staff' table and a 'Contractors' table. You also want to ensure duplicate emails are removed. Which operator is appropriate?,"<b>ANSWER:</b> Use the <code>UNION</code> operator.<br><br><b>The Simple Explanation:</b><br>`UNION` stacks the results of two queries vertically and automatically removes duplicates. If you want to keep duplicates, use `UNION ALL` (which is also faster).<br><br><b>The Code:</b><br><code>SELECT Email FROM Staff UNION SELECT Email FROM Contractors;</code>",SQL Postgres,sql set-operations union type-scenario,scenario
"Write a one-line list comprehension that squares every number in the list `nums = [1, 2, 3]`.",<b>ANSWER:</b><br><code>squared = [x**2 for x in nums]</code>,Python Core,python core list-comprehension type-fromscratch,fromscratch
You want to calculate a 3-day moving average of daily sales. How do you construct the window frame within the OVER() clause to achieve this?,"<b>ANSWER:</b> Use <code>ROWS BETWEEN 2 PRECEDING AND CURRENT ROW</code> within the window function.<br><br><b>The Simple Explanation:</b><br>A window frame explicitly defines the subset of rows to include in the calculation. For a 3-day average, you include the current day and the 2 days before it.<br><br><b>The Code:</b><br><code>SELECT Date, Sales, AVG(Sales) OVER (ORDER BY Date ROWS BETWEEN 2 PRECEDING AND CURRENT ROW) as MovingAvg FROM DailySales;</code>",SQL Postgres,sql window-function moving-average type-scenario,scenario
"If you run `bool(re.search(r'\d+', 'abc'))`, what is the output?","<b>ANSWER:</b> `False`<br><br><b>The Simple Explanation:</b><br>`\d+` looks for 1 or more digits. 'abc' has no digits, so `re.search` returns `None`, which evaluates to `False`.",Python Core,python core regex search predict type-predict,predict
"This code is supposed to drop rows containing NaNs, but `df` still has missing values when checked later. Why?<br><code>df.dropna(subset=['Email'])</code>",<b>ANSWER:</b> Pandas operations are usually not in-place. It returned a cleaned copy but didn't modify the original.<br><br><b>The Fix:</b><br><code>df = df.dropna(subset=['Email'])</code> or use <code>inplace=True</code>.,Analyst Python,pandas analyst data-cleaning dropna inplace type-debug,debug
How do you handle JSON in Postgres vs MySQL?,"<b>ANSWER:</b><br>Postgres uses the highly optimized <code>JSONB</code> type with advanced indexing.<br>MySQL added a native <code>JSON</code> type in 5.7, but its querying operators differ (e.g., `JSON_EXTRACT` instead of `->>`).",SQL Dialect Diff,sql json dialect compare type-compare,compare
You have a dataset of customer churn and want to evaluate how well your model will perform on unseen future data. What is the fundamental first step in sklearn before training?,"<b>ANSWER:</b> Split the data into a training set and a testing set using <code>train_test_split</code>.<br><br><b>The Simple Explanation:</b><br>You train the model on ~80% of the data, and hold back the remaining ~20% to test its accuracy. If you test it on the same data it learned from, it will look artificially smart (overfitting).",Analyst ML,ml sklearn train_test_split type-scenario,scenario
