Question,Answer,Topic,Tags
"What is the absolute core difference between an Abstract Class and an Interface? When do I use which?","<b>ANSWER:</b> Think of it like biology vs behavior.<br><br><b>1. Abstract Class (Biology/Identity):</b> This tells you what an object IS. A `Dog` IS An `Animal`. If you have shared code (like a `sleep()` method that works exactly the same for all animals) or shared variables (`int age`), you use an abstract class. You can only inherit from ONE abstract class.<br><br><b>2. Interface (Behavior/Capability):</b> This tells you what an object CAN DO. A `Dog` CAN `Petable`, a `Car` CAN `Driveable`. An interface doesn't care what the object is, only what it can do. You can implement MULTIPLE interfaces.<br><br><b>Real World Java Application:</b><br>If you are building a game and have `Player`, `Enemy`, and `NPC`, they should all extend an abstract class `Character` (because they all have `health` and `x,y coordinates`). But if you want some enemies to fly, and some players to fly, they should both implement a `Flyable` interface!","OOP Fundamentals","oop java interface abstract-class"
"Explain Polymorphism simply. Give a real code application.","<b>ANSWER:</b> Polymorphism means 'many forms'. It is the ability to treat completely different objects as if they were the exact same thing, as long as they share a parent.<br><br><b>The Simple Explanation:</b><br>Imagine a universal remote control. The remote has a `Power()` button. The remote doesn't care if it's pointing at a Sony TV, an LG Soundbar, or an Apple TV. It just presses `Power()`, and the specific device handles what to do next.<br><br><b>Java Application:</b><br>You are building a drawing app.<br><code><br>List<Shape> shapes = new ArrayList<>();<br>shapes.add(new Circle());<br>shapes.add(new Square());<br><br>for(Shape s : shapes) {<br>    s.draw(); // POLYMORPHISM! <br>}</code><br>We don't need `if (s is Circle) { drawCircle() }`. The parent `Shape` says 'you must have a draw method', and the child classes provide the specific implementation.","OOP Fundamentals","oop polymorphism java"
"What is Encapsulation, really? Why not just make variables public?","<b>ANSWER:</b> Encapsulation is protecting your data from being put into an invalid state by the outside world.<br><br><b>The Simple Explanation:</b><br>Imagine a bank account. If your balance is a `public` variable, anyone can write `myAccount.balance = -99999;`. That's illegal in the real world!<br>Encapsulation means making the `balance` private, and forcing people to use a `deposit()` or `withdraw()` method. <br><br><b>Java Application:</b><br><code><br>private double balance = 100.0;<br><br>public void withdraw(double amount) {<br>    if (amount <= 0) throw new Exception(\"Invalid amount\");<br>    if (amount > balance) throw new Exception(\"Insufficient funds\");<br>    balance -= amount; // Safe state change!<br>}<br></code><br>By hiding the variable, YOU control the rules of how it changes.","OOP Fundamentals","oop encapsulation java"
"What does 'static' actually mean in Java? Memory-wise and logically?","<b>ANSWER:</b> `Static` means it belongs to the Blueprint (the Class), NOT the individual Houses (the Objects).<br><br><b>The Simple Explanation:</b><br>Imagine a class `Student`. Each student has a name (e.g., John, Mary). That is an <i>instance variable</i> because it's different for every student. But what if we want to track the `totalNumberOfStudents`? That number doesn't belong to John or Mary; it belongs to the school (the Class). <br><br><b>Memory & Application:</b><br>• When you declare `static int count = 0;`, Java creates exactly ONE spot in memory for `count`, no matter if you create 1 student or 10,000 students. <br>• You call it via the Class name: `Student.count`.<br>• <b>Warning:</b> If John changes a static variable, Mary sees the changed variable. It is shared global state!","OOP Fundamentals","oop java static memory"
"Explain Method Overloading vs Overriding with a real example.","<b>ANSWER:</b> <br><b>OVERLOADING (Compile-Time / Same Class):</b><br>Having multiple methods with the exact same name, but different parameters. It's like having different tools for different situations.<br><i>Example:</i> `System.out.println(String)` vs `System.out.println(int)`. Same method name, different input. Java knows which one to use at compile time based on what you pass it.<br><br><b>OVERRIDING (Run-Time / Parent-Child Classes):</b><br>A child class providing a specific implementation of a method that is already provided by its parent class. It entirely replaces the parent's behavior.<br><i>Example:</i> <br>Parent `Bird` has `move() { print(\"Walking\"); }`<br>Child `Eagle` overrides it: `@Override move() { print(\"Flying\"); }`<br>Java figures out which one to use dynamically while the program is running depending on the actual object type.","OOP Fundamentals","oop overloading overriding java"
"What is a Constructor? Does it return anything?","<b>ANSWER:</b> A Constructor is a special block of code used to build an object for the very first time. It sets up the initial state.<br><br><b>The Simple Explanation:</b><br>If a Class is a blueprint for a house, the Constructor is the construction crew. You tell the crew 'Build me a house, make it red, and give it 3 doors'.<br><br><b>Code Rules:</b><br>1. It MUST have the exact same name as the Class.<br>2. It does NOT have a return type (not even `void`). It implicitly returns the newly created object.<br><code><br>class Car {<br>  String color;<br>  // Constructor<br>  public Car(String color) {<br>    this.color = color;<br>  }<br>}</code>","OOP Fundamentals","oop constructor java"
"What is the 'this' keyword? Why is it useful?","<b>ANSWER:</b> The `this` keyword is a reference to the <i>current object</i> whose method or constructor is being called.<br><br><b>The Simple Explanation:</b><br>Imagine a group of identical robots. If you shout 'Robot, raise your arm!', they all get confused. If a robot is programmed to say 'I will raise <b>this</b> arm' (pointing to itself), it knows exactly what to do. `this` means 'myself'.<br><br><b>Java Application (Shadowing):</b><br>Usually used when a method parameter has the exact same name as an instance variable.<br><code><br>class User {<br>  String name;<br>  public void setName(String name) {<br>    this.name = name; // 'this.name' is the object's variable. 'name' is the parameter.<br>  }<br>}</code>","OOP Fundamentals","oop this-keyword java"
"What is 'super'? When do you use it?","<b>ANSWER:</b> The `super` keyword is used to refer to the immediate <b>Parent Class</b> of an object.<br><br><b>The Simple Explanation:</b><br>If a child rebels and overrides a parent's rule, but occasionally still needs the parent's help, they use `super`.<br><br><b>Application 1: Calling Parent Constructor</b><br>A child must make sure the parent is built first.<br><code><br>class Manager extends Employee {<br>  public Manager(String name) {<br>    super(name); // Calls Employee's constructor first!<br>  }<br>}</code><br><br><b>Application 2: Calling Parent Method</b><br><code><br>class Eagle extends Bird {<br>  @Override<br>  public void eat() {<br>    super.eat(); // Do what normal birds do first<br>    System.out.println(\"Then look majestic.\");<br>  }<br>}</code>","OOP Fundamentals","oop super-keyword inheritance java"
"Explain the difference between Pass-by-Value and Pass-by-Reference. Which one does Java use?","<b>ANSWER:</b> <br><b>Pass-by-Value:</b> You give a function a PHOTOCOPY of a document. If the function shreds the photocopy, your original document is safe.<br><b>Pass-by-Reference:</b> You give a function the ACTUAL document. If the function shreds it, it's gone forever.<br><br><b>What does Java use?</b><br>Java is ALWAYS 100% <b>Pass-by-Value</b>. <br><br><b>The Tricky Part (Object References):</b><br>When you pass an Object (like a `Dog`) into a method in Java, you are passing a <i>photocopy of the remote control</i> that points to the Dog. <br>• If you use the remote to say `dog.setName(\"Rex\")`, the actual dog changes.<br>• But if you smash the remote and say `dog = new Dog()`, the original dog outside the method is completely unaffected, because you only broke the photocopy of the remote!","OOP Fundamentals","oop pass-by-value memory java"
"What is the difference between '==' and '.equals()' in Java?","<b>ANSWER:</b> This is the most common bug for beginners.<br><br><b>The Simple Explanation:</b><br>• <b>`==` (The Identity Check):</b> Checks if two things are pointing to the exact same physical spot in memory. Are they literally the same object?<br>• <b>`.equals()` (The Content Check):</b> Checks if two things logically have the same value, even if they are stored in different places.<br><br><b>Java Application:</b><br><code><br>String a = new String(\"hello\");<br>String b = new String(\"hello\");<br><br>System.out.println(a == b); // FALSE. They are two different objects in memory.<br>System.out.println(a.equals(b)); // TRUE. The letters inside them are the same.<br></code><br><i>Rule of Thumb:</i> Always use `.equals()` to compare Strings and Objects. Only use `==` for primitives (int, boolean, double).","OOP Fundamentals","oop equals equality java"
