Question,Answer,Topic,Tags
"What is the Sliding Window Pattern? When do you use it?","<b>ANSWER:</b> It is used to perform operations on a specific window size of a given array or linked list, such as finding the longest subarray containing all 1s.<br><br><b>Application:</b> Use it when you are asked to find the longest/shortest substring, subarray, or a desired value among contiguous elements.<br><br><b>What to look out for:</b> Does the window size stay fixed, or does it grow/shrink dynamically? Always keep track of the start of the window.<br><br><b>Java Concept:</b><br><code>int left = 0;<br>for (int right = 0; right < arr.length; right++) {<br>  // add arr[right] to window<br>  while (window_condition_broken) {<br>    // remove arr[left] from window<br>    left++;<br>  }<br>  // update max/min result<br>}</code><br><br><b>Python Concept:</b><br><code>left = 0<br>for right in range(len(arr)):<br>    # add arr[right]<br>    while condition_broken:<br>        # remove arr[left]<br>        left += 1<br>    # update result</code>","DSA Patterns","dsa pattern sliding-window"
"Code a Fixed Sliding Window: Maximum Sum Subarray of Size K","<b>ANSWER:</b> Find the max sum of any contiguous subarray of size K.<br><br><b>Java Code:</b><br><code>public int maxSum(int[] arr, int k) {<br>  int maxSum = 0, windowSum = 0;<br>  for (int i = 0; i < arr.length; i++) {<br>    windowSum += arr[i]; // add next element<br>    if (i >= k - 1) {<br>      maxSum = Math.max(maxSum, windowSum);<br>      windowSum -= arr[i - k + 1]; // slide window<br>    }<br>  }<br>  return maxSum;<br>}</code><br><br><b>Python Code:</b><br><code>def max_sum(arr, k):<br>    max_sum = window_sum = 0<br>    for i in range(len(arr)):<br>        window_sum += arr[i]<br>        if i >= k - 1:<br>            max_sum = max(max_sum, window_sum)<br>            window_sum -= arr[i - k + 1]<br>    return max_sum</code>","DSA Patterns","dsa sliding-window code"
"Code a Dynamic Sliding Window: Smallest Subarray with a given sum","<b>ANSWER:</b> Find the length of the smallest contiguous subarray whose sum is greater than or equal to 'S'.<br><br><b>Java Code:</b><br><code>public int minSubArrayLen(int target, int[] nums) {<br>  int minLen = Integer.MAX_VALUE, sum = 0, left = 0;<br>  for (int right = 0; right < nums.length; right++) {<br>    sum += nums[right];<br>    while (sum >= target) {<br>      minLen = Math.min(minLen, right - left + 1);<br>      sum -= nums[left++]; // shrink window<br>    }<br>  }<br>  return minLen == Integer.MAX_VALUE ? 0 : minLen;<br>}</code><br><br><b>Python Code:</b><br><code>def min_sub_array_len(target, nums):<br>    min_len = float('inf')<br>    window_sum, left = 0, 0<br>    for right in range(len(nums)):<br>        window_sum += nums[right]<br>        while window_sum >= target:<br>            min_len = min(min_len, right - left + 1)<br>            window_sum -= nums[left]<br>            left += 1<br>    return 0 if min_len == float('inf') else min_len</code>","DSA Patterns","dsa sliding-window dynamic code"
"What is the Two Pointers Pattern? When do you use it?","<b>ANSWER:</b> Using two pointers (usually start and end) to iterate through a data structure.<br><br><b>Application:</b> Use it when dealing with sorted arrays or linked lists, and you need to find a set of elements that fulfill certain constraints (e.g., target sum). It brings O(N^2) solutions down to O(N).<br><br><b>What to look out for:</b> The array almost always MUST be sorted for the left/right pointer strategy to work!<br><br><b>Concept:</b><br>Pointer 1 starts at index 0. Pointer 2 starts at the last index. If their sum is too big, move the right pointer left. If it's too small, move the left pointer right.","DSA Patterns","dsa pattern two-pointers"
"Code Two Pointers: Pair with Target Sum (Two Sum II)","<b>ANSWER:</b> Given a SORTED array, find two numbers that add up to a target.<br><br><b>Java Code:</b><br><code>public int[] search(int[] arr, int targetSum) {<br>  int left = 0, right = arr.length - 1;<br>  while (left < right) {<br>    int currentSum = arr[left] + arr[right];<br>    if (currentSum == targetSum) return new int[]{left, right};<br>    if (targetSum > currentSum) left++;<br>    else right--;<br>  }<br>  return new int[]{-1, -1};<br>}</code><br><br><b>Python Code:</b><br><code>def search(arr, target_sum):<br>    left, right = 0, len(arr) - 1<br>    while left < right:<br>        curr_sum = arr[left] + arr[right]<br>        if curr_sum == target_sum:<br>            return [left, right]<br>        if target_sum > curr_sum:<br>            left += 1<br>        else:<br>            right -= 1<br>    return [-1, -1]</code>","DSA Patterns","dsa two-pointers code"
"Code Two Pointers: Remove Duplicates from Sorted Array","<b>ANSWER:</b> Modify a sorted array in-place to remove duplicates, returning the new length.<br><br><b>Java Code:</b><br><code>public int removeDuplicates(int[] arr) {<br>  int nextNonDup = 1; // pointer for next unique element<br>  for (int i = 1; i < arr.length; i++) {<br>    if (arr[nextNonDup - 1] != arr[i]) {<br>      arr[nextNonDup] = arr[i];<br>      nextNonDup++;<br>    }<br>  }<br>  return nextNonDup;<br>}</code><br><br><b>Python Code:</b><br><code>def remove_duplicates(arr):<br>    next_non_dup = 1<br>    for i in range(1, len(arr)):<br>        if arr[next_non_dup - 1] != arr[i]:<br>            arr[next_non_dup] = arr[i]<br>            next_non_dup += 1<br>    return next_non_dup</code>","DSA Patterns","dsa two-pointers code in-place"
"Code Two Pointers: Squaring a Sorted Array","<b>ANSWER:</b> Given an array sorted in non-decreasing order (can contain negatives), return an array of squares sorted in non-decreasing order.<br><br><b>Java Code:</b><br><code>public int[] makeSquares(int[] arr) {<br>  int n = arr.length, highest = n - 1;<br>  int[] squares = new int[n];<br>  int left = 0, right = n - 1;<br>  while (left <= right) {<br>    int leftSq = arr[left] * arr[left];<br>    int rightSq = arr[right] * arr[right];<br>    if (leftSq > rightSq) {<br>      squares[highest--] = leftSq; left++;<br>    } else {<br>      squares[highest--] = rightSq; right--;<br>    }<br>  }<br>  return squares;<br>}</code><br><br><b>Python Code:</b><br><code>def make_squares(arr):<br>    n = len(arr); squares = [0] * n<br>    highest = n - 1; left, right = 0, n - 1<br>    while left <= right:<br>        left_sq, right_sq = arr[left]**2, arr[right]**2<br>        if left_sq > right_sq:<br>            squares[highest] = left_sq; left += 1<br>        else:<br>            squares[highest] = right_sq; right -= 1<br>        highest -= 1<br>    return squares</code>","DSA Patterns","dsa two-pointers math code"
"What is the Fast & Slow Pointers (Hare & Tortoise) Pattern?","<b>ANSWER:</b> Using two pointers moving through an array or list at different speeds.<br><br><b>Application:</b> Best for Linked Lists. Use it to find the middle of a linked list, detect cycles (loops), or find the start of a cycle. By moving one pointer at 1x speed and the other at 2x speed, they are mathematically guaranteed to meet if a cycle exists.<br><br><b>What to look out for:</b> Null pointer exceptions. Always check `if (fast != null && fast.next != null)`.","DSA Patterns","dsa pattern fast-slow-pointers list"
"Code Fast & Slow: Detect Cycle in a Linked List","<b>ANSWER:</b> Return true if the linked list has a cycle.<br><br><b>Java Code:</b><br><code>public boolean hasCycle(ListNode head) {<br>  ListNode slow = head, fast = head;<br>  while (fast != null && fast.next != null) {<br>    slow = slow.next;          // moves 1 step<br>    fast = fast.next.next;     // moves 2 steps<br>    if (slow == fast) return true; // cycle detected<br>  }<br>  return false;<br>}</code><br><br><b>Python Code:</b><br><code>def has_cycle(head):<br>    slow, fast = head, head<br>    while fast is not None and fast.next is not None:<br>        slow = slow.next<br>        fast = fast.next.next<br>        if slow == fast:<br>            return True<br>    return False</code>","DSA Patterns","dsa fast-slow-pointers cycle code"
"Code Fast & Slow: Find the Middle of a Linked List","<b>ANSWER:</b> Return the middle node. If there are two middle nodes, return the second one.<br><br><b>Java Code:</b><br><code>public ListNode middleNode(ListNode head) {<br>  ListNode slow = head, fast = head;<br>  while (fast != null && fast.next != null) {<br>    slow = slow.next;<br>    fast = fast.next.next;<br>  }<br>  return slow; // When fast hits the end, slow is exactly in the middle<br>}</code><br><br><b>Python Code:</b><br><code>def middle_node(head):<br>    slow, fast = head, head<br>    while fast is not None and fast.next is not None:<br>        slow = slow.next<br>        fast = fast.next.next<br>    return slow</code>","DSA Patterns","dsa fast-slow-pointers middle code"
