Question,Answer,Topic,Tags
"What is System Design?","<b>ANSWER:</b> It is the architectural blueprint of a city.<br><br><b>The Simple Explanation:</b><br>Coding is building a single house (a feature). System Design is planning the entire city's plumbing, highways, and electrical grids so that when 1 million people move in tomorrow, the city doesn't collapse.<br><br>It involves choosing the right databases, servers, load balancers, and caching layers to make sure a system is Scalable (can handle more users), Reliable (won't crash), and Available (never goes offline).","System Design","system-design architecture"
"What is Vertical Scaling vs Horizontal Scaling?","<b>ANSWER:</b> Upgrading your car vs Buying a fleet of cars.<br><br><b>The Simple Explanation:</b><br>• <b>Vertical Scaling (Scaling Up):</b> Your server is slow, so you turn it off, rip out the 16GB of RAM, and install 128GB of RAM. It's easy, but there is a physical limit. You can't buy a server with infinite RAM. Also, it's a Single Point of Failure.<br>• <b>Horizontal Scaling (Scaling Out):</b> Your server is slow, so you buy 10 more cheap servers and put a Load Balancer in front of them. It's infinitely scalable (just keep buying more cheap servers), but the software is much harder to write because the servers have to talk to each other.","System Design","system-design scaling architecture"
"What is a Single Point of Failure (SPOF)?","<b>ANSWER:</b> The Achilles Heel of your entire system.<br><br><b>The Simple Explanation:</b><br>Imagine you have 100 perfectly scaled web servers, but they all connect to ONE single master database server.<br><br>If someone accidentally trips over the power cord for that ONE database server, all 100 web servers instantly become useless, and your entire website goes offline. That database was a Single Point of Failure.<br><b>The Fix:</b> Redundancy. You set up a Primary database and a Replica database. If the Primary dies, the Replica instantly takes over.","System Design","system-design reliability architecture"
"Explain the Client-Server Architecture.","<b>ANSWER:</b> The Restaurant Model.<br><br><b>The Simple Explanation:</b><br>• <b>Client (The Customer):</b> This is your laptop, your phone, or your web browser. It doesn't know how to cook the food, it just knows how to read the menu and place an order (Send an HTTP Request).<br>• <b>Server (The Kitchen):</b> This is a powerful computer in a data center. It receives the order, cooks the food (talks to the database, runs the complex math), and hands the finished meal (the Webpage) back to the Client.<br><br>The client is 'dumb' (just displays things), and the server is 'smart' (does the actual work).","System Design","system-design client-server"
"What is a Microservices Architecture vs a Monolith?","<b>ANSWER:</b> A massive Supercenter vs a street of specialized shops.<br><br><b>Monolith (The Supercenter):</b><br>All your code (Login, Payments, Shopping Cart) is packed into one gigantic `.exe` or `.jar` file. It's easy to build at first. But if a developer makes a typo in the 'Login' code, the entire application crashes and people can't use the 'Shopping Cart'.<br><br><b>Microservices (Specialized Shops):</b><br>You split the app into 20 tiny, independent apps. The 'Payment Service' runs on its own server. The 'Login Service' runs on a different server. They talk to each other over the network (APIs). If the Login service crashes, the Payment service is completely unaffected.","System Design","system-design microservices architecture"
"What is an API (Application Programming Interface)?","<b>ANSWER:</b> The waiter at a restaurant.<br><br><b>The Simple Explanation:</b><br>You (the Application) are sitting at a table. The Kitchen (the Database/Server) has the food you want. But you aren't allowed to walk into the kitchen and cook it yourself.<br><br>The API is the waiter. You hand the API your order (`GET /users/5`). The API walks into the kitchen, translates your order, gets the food (JSON data), and brings it back to your table. An API is just a set of rules for how two completely different pieces of software are allowed to talk to each other.","System Design","system-design api architecture"
"What is a RESTful API?","<b>ANSWER:</b> A standard set of rules for how waiters should take orders over the internet.<br><br><b>The Simple Explanation:</b><br>REST uses standard HTTP methods (verbs) to perform actions on Resources (nouns).<br>• <b>GET</b> `/movies` (Read: Give me a list of movies)<br>• <b>POST</b> `/movies` (Create: I am sending you a new movie to save)<br>• <b>PUT/PATCH</b> `/movies/5` (Update: Change the title of movie #5)<br>• <b>DELETE</b> `/movies/5` (Delete: Remove movie #5)<br><br>It is Stateless, meaning every request must contain all the information needed to understand it. The server doesn't remember your last request.","System Design","system-design api rest"
"What is Caching? Give an analogy.","<b>ANSWER:</b> Caching is memorizing the answer so you don't have to do the math again.<br><br><b>The Simple Explanation:</b><br>If I ask you 'What is 54,321 x 99?', it might take you 3 minutes with a pen and paper to figure out it's 5,377,779 (Hitting the Database).<br><br>If I ask you the exact same question 10 seconds later, you don't do the math again. You memorized the answer and shout it out instantly (Hitting the Cache).<br>In System Design, we put a Cache (like Redis) in front of the Database. If 1,000 users ask for the 'Top 10 Movies', the server does the database math ONCE, saves the list in the Cache, and gives the other 999 users the answer instantly from RAM.","System Design","system-design caching performance"
"What is Cloud Computing (AWS, Azure, GCP)?","<b>ANSWER:</b> Renting someone else's computer by the minute.<br><br><b>The Simple Explanation:</b><br>In the past, if you wanted to launch a website, you had to physically buy a $5,000 server, plug it into the wall, pay the electric bill, and install air conditioning.<br><br><b>The Cloud:</b> Amazon bought 10 million servers and built massive warehouses. Now, you click a button on a website, and Amazon lets you rent a tiny slice of one of their servers for $0.05 an hour. If you get famous overnight, you can click another button and rent 1,000 servers instantly. If you go broke the next day, you turn them off and stop paying.","System Design","system-design cloud architecture"
"Explain IaaS, PaaS, and SaaS using a Pizza analogy.","<b>ANSWER:</b> How much work you want to do yourself.<br><br><b>On-Premise (Homemade):</b> You buy the flour, tomatoes, oven, and bake the pizza yourself. (You own the servers, the OS, and the code).<br><b>IaaS - Infrastructure as a Service (Take-and-Bake):</b> The store gives you a raw pizza, but you have to use your own oven and gas to cook it. (AWS EC2: They give you the raw hardware, you install the OS and the code).<br><b>PaaS - Platform as a Service (Pizza Delivery):</b> They cook it and deliver it, you just eat it at your dining table. (Heroku: You just hand them your code, they handle the OS and servers completely).<br><b>SaaS - Software as a Service (Dining Out):</b> You go to a restaurant. They do absolutely everything. You just sit down and enjoy. (Gmail, Netflix: You just use the finished software).","System Design","system-design cloud saas"
