Question,Answer,Topic,Tags
"What is a Cell Reference (Absolute vs Relative)?","<b>ANSWER:</b> How Excel knows which box you are talking about.<br><br><b>Relative Reference (`A1`):</b> If you copy a formula down one row, Excel automatically changes it to `A2`. This is great for doing the same math on a whole column.<br><br><b>Absolute Reference (`$A$1`):</b> The dollar signs lock the cell in place. Even if you copy the formula 100 rows down, it will ALWAYS look exactly at `$A$1` (useful for a fixed tax rate cell).","Excel Fundamentals","excel basics referencing"
"How do you do basic math in Excel? (SUM, AVERAGE, MIN, MAX)","<b>ANSWER:</b> The core calculation functions.<br><br><b>The Code:</b><br>• `Total: =SUM(A1:A10)`<br>• `Average: =AVERAGE(A1:A10)`<br>• `Highest Value: =MAX(A1:A10)`<br>• `Lowest Value: =MIN(A1:A10)`<br><br><i>Tip:</i> The colon `:` means 'everything between'. `A1:A10` means A1, A2, A3... all the way to A10.","Excel Fundamentals","excel math formulas"
"Explain the IF function.","<b>ANSWER:</b> Making Excel make decisions for you.<br><br><b>The Code:</b><br><code>=IF(B2 >= 60, \"Pass\", \"Fail\")</code><br><br><b>How it works:</b><br>1. Check a condition (`B2 >= 60`)<br>2. What to print if it is TRUE (`\"Pass\"`)<br>3. What to print if it is FALSE (`\"Fail\"`)","Excel Fundamentals","excel formulas logic"
"What is VLOOKUP and how does it work?","<b>ANSWER:</b> The ultimate 'Search and Retrieve' tool.<br><br><b>The Simple Explanation:</b><br>You have an Employee ID `105`. You want Excel to scan another table, find `105`, and return their Salary.<br><br><b>The Code:</b><br><code>=VLOOKUP(A2, EmployeeTable!A:D, 4, FALSE)</code><br><br>1. <b>Look up value:</b> The ID you have (`A2`).<br>2. <b>Table Array:</b> Where to search (`EmployeeTable!A:D`).<br>3. <b>Column Index:</b> The column number holding the answer (Salary is the 4th column).<br>4. <b>Exact Match:</b> ALWAYS use `FALSE` to force an exact match, otherwise Excel guesses.","Excel Fundamentals","excel formulas lookup"
"What is the difference between VLOOKUP and XLOOKUP?","<b>ANSWER:</b> XLOOKUP is the modern, vastly superior replacement for VLOOKUP.<br><br><b>Why VLOOKUP is bad:</b> It can only search left-to-right (the ID MUST be in the first column), and if you insert a new column into your table, it breaks your `Column Index` number.<br><br><b>XLOOKUP Code:</b><br><code>=XLOOKUP(A2, EmployeeTable!A:A, EmployeeTable!D:D)</code><br>1. What to look for (`A2`).<br>2. Which specific column to search in (`A:A`).<br>3. Which specific column holds the answer (`D:D`). It never breaks if you add columns!","Excel Fundamentals","excel formulas lookup"
"How do you count items with a condition? (COUNTIF)","<b>ANSWER:</b> Tallying up specific things.<br><br><b>The Simple Explanation:</b><br>You have a list of 500 sales. You want to know exactly how many sales were made by 'John'.<br><br><b>The Code:</b><br><code>=COUNTIF(B:B, \"John\")</code><br><br>It scans column B, and every time it sees exactly \"John\", it adds 1 to the counter.","Excel Fundamentals","excel formulas count"
"How do you sum items with a condition? (SUMIF)","<b>ANSWER:</b> Adding up numbers only if they meet a rule.<br><br><b>The Simple Explanation:</b><br>You want to calculate the Total Sales Dollars, but ONLY for the 'Electronics' department.<br><br><b>The Code:</b><br><code>=SUMIF(A:A, \"Electronics\", C:C)</code><br><br>1. Look in Column A (Departments).<br>2. Find \"Electronics\".<br>3. For every match, add the corresponding number from Column C (Dollars) to the total.","Excel Fundamentals","excel formulas sum"
"What is an IFERROR statement?","<b>ANSWER:</b> Hiding ugly #DIV/0! or #N/A errors.<br><br><b>The Simple Explanation:</b><br>If a VLOOKUP fails to find an ID, it prints `#N/A` on your clean dashboard.<br><br><b>The Code:</b><br><code>=IFERROR(VLOOKUP(A2, Table!A:D, 2, FALSE), \"Not Found\")</code><br><br>It tries the formula first. If the formula works, it prints the answer. If the formula crashes, it prints your clean backup text ('Not Found') instead of an ugly error code.","Excel Fundamentals","excel formulas errors"
"How do you split text into columns? (Text to Columns)","<b>ANSWER:</b> Ripping apart messy data.<br><br><b>The Simple Explanation:</b><br>You get a CSV where a cell contains `Smith, John, 1990`. You want First Name, Last Name, and Year in three separate columns.<br><br><b>The Fix:</b><br>1. Highlight the column.<br>2. Go to Data > Text to Columns.<br>3. Choose 'Delimited' and select Comma as the separator. Excel instantly chops it into 3 clean columns.","Excel Fundamentals","excel data-cleaning"
"How do you combine text from different cells? (CONCATENATE or &)","<b>ANSWER:</b> Gluing data together.<br><br><b>The Simple Explanation:</b><br>You have 'John' in A2 and 'Smith' in B2. You want 'John Smith'.<br><br><b>The Code (Using &):</b><br><code>=A2 & \" \" & B2</code><br><br><b>The Code (Modern TEXTJOIN):</b><br><code>=TEXTJOIN(\" \", TRUE, A2, B2)</code><br>(`TEXTJOIN` is amazing because it can glue an entire column together `A1:A50` with commas automatically).","Excel Fundamentals","excel strings formulas"
